CustServ.custcare_Mean,CustServ.ccrndmou_Mean,CustServ.cc_mou_Mean
1.333333333,5.333333333,4.54
0,0,0
0,0,0
0.333333333,1.666666667,1.543333333
0.333333333,2.666666667,2.533333333
0,0,0
0,0,0
0.333333333,1,0.993333333
0.333333333,2,1.8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6.333333333,17,12.96666667
0.666666667,4.666666667,4.286666667
0,0,0
0.333333333,0.666666667,0.376666667
0,0,0
0.666666667,4,3.493333333
0,0,0
10,46.33333333,40.97333333
0,0,0
0,0,0
6.333333333,8,5.426666667
0.333333333,0.333333333,0.1
0,0,0
1.666666667,6.333333333,5.093333333
0,0,0
3.333333333,35.66666667,33.83
6,9.333333333,4.22
0,0,0
1.333333333,3.333333333,2.46
0,0,0
5.333333333,12.33333333,8.456666667
0,0,0
0,0,0
1.666666667,10,9.066666667
0,0,0
0,0,0
0,0,0
0,0,0
2.333333333,39,37.53666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,2.333333333,1.12
3.666666667,4,2.356666667
0,0,0
1,8.666666667,8.05
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,3,2.773333333
0.333333333,2,1.826666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.666666667,11,8.966666667
4.666666667,6.333333333,4.54
1,10.33333333,9.65
3,3,1.523333333
0,0,0
5.666666667,56.33333333,53.26333333
0,0,0
0,0,0
0,0,0
1.666666667,5.666666667,4.38
0,0,0
1.333333333,3.666666667,2.876666667
2,3,1.903333333
0,0,0
0.333333333,2,1.79
2,23.66666667,22.28666667
0,0,0
0.333333333,4.666666667,4.483333333
1,20.33333333,19.91333333
0,0,0
2,6,4.433333333
1.666666667,6.333333333,5.796666667
0.333333333,1.666666667,1.423333333
0,0,0
0,0,0
1.333333333,10,9.033333333
0,0,0
0.333333333,0.666666667,0.626666667
0,0,0
0,0,0
4.666666667,11.33333333,7.04
1.333333333,2,1.166666667
0,0,0
0,0,0
3.666666667,3.666666667,2.513333333
0,0,0
0,0,0
0.666666667,3,2.683333333
0.333333333,0.333333333,0.106666667
0,0,0
3,21.66666667,19.99666667
0.666666667,4,3.456666667
4.666666667,9,6.833333333
0,0,0
1.333333333,4,3.19
0.333333333,0.333333333,0.033333333
0.333333333,2.666666667,2.373333333
0,0,0
0.666666667,2,1.66
0,0,0
1.333333333,1.666666667,0.746666667
0,0,0
0,0,0
3.666666667,11,8.12
7.666666667,19.33333333,14.74333333
0,0,0
0.333333333,0.333333333,0.323333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,4.666666667,4.6
5.333333333,15.66666667,13.32
1,11.66666667,11.36
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,2.333333333,1.643333333
0.333333333,0.666666667,0.6
0.666666667,1.333333333,0.873333333
0,0,0
0,0,0
2.666666667,18.33333333,17.19666667
0.333333333,0.333333333,0.29
0,0,0
0,0,0
0,0,0
0.666666667,1.333333333,0.833333333
0,0,0
0.666666667,4.333333333,3.853333333
0,0,0
1,2.333333333,1.836666667
0,0,0
0,0,0
0,0,0
1.333333333,1.666666667,0.553333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,3.333333333,2.993333333
6,27.33333333,24.65666667
0,0,0
0.666666667,0.666666667,0.313333333
0.333333333,2.666666667,2.383333333
0,0,0
0,0,0
0,0,0
1,1,0.533333333
0.333333333,0.333333333,0.2
0,0,0
0.666666667,1,0.706666667
0,0,0
0,0,0
0.666666667,2,1.74
0,0,0
0.333333333,0.333333333,0.25
0,0,0
0,0,0
0,0,0
0.666666667,5,4.583333333
3.666666667,32.66666667,30.11666667
2.666666667,3,0.94
4,8,5.673333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.333333333,26,23.80666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0.486666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.333333333,8.666666667,5.773333333
0,0,0
0.333333333,0.666666667,0.343333333
0,0,0
5.333333333,50,47.44333333
0,0,0
0.666666667,2.666666667,2.2
0,0,0
0,0,0
0,0,0
0.333333333,1,0.76
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.333333333,10,9.366666667
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.006666667
0,0,0
0.666666667,0.666666667,0.293333333
0,0,0
0,0,0
0,0,0
0.666666667,3.333333333,2.773333333
0,0,0
20,21,10.52666667
0,0,0
1,3,2.423333333
1,1.666666667,1.06
0.666666667,1.333333333,1.263333333
7.666666667,9.666666667,6.45
0,0,0
0,0,0
0.666666667,1.333333333,0.866666667
0,0,0
0,0,0
0.666666667,1.333333333,1.14
0.333333333,0.333333333,0.023333333
0,0,0
0,0,0
0.666666667,5.666666667,5.313333333
0,0,0
0.333333333,0.333333333,0.19
0,0,0
1.666666667,10.33333333,9.54
3.333333333,5,2.336666667
0,0,0
4,6.666666667,4.603333333
2,7.333333333,6.646666667
2,6,5.046666667
0,0,0
1,5.333333333,4.703333333
0,0,0
1,1,0.093333333
0.666666667,2.333333333,1.883333333
0,0,0
0,0,0
0,0,0
0.333333333,0.666666667,0.573333333
0,0,0
3,11,9.263333333
0,0,0
3,9.333333333,7.906666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,8.666666667,8.033333333
0,0,0
1,2,1.31
0.333333333,0.333333333,0.01
0,0,0
0.333333333,1.333333333,1.09
0,0,0
0,0,0
0.333333333,0.333333333,0.1
0.666666667,1.666666667,1.416666667
0,0,0
0,0,0
0.333333333,0.333333333,0.023333333
0,0,0
0,0,0
1.333333333,11,10.21
0,0,0
0,0,0
0,0,0
0.666666667,3.333333333,3.033333333
9.666666667,59.66666667,54.31333333
2.666666667,8,6.073333333
1,3,2.34
2,5,3.283333333
0,0,0
1,10,9.676666667
0.333333333,2.333333333,2.233333333
0,0,0
0.666666667,0.666666667,0.586666667
0,0,0
0.333333333,0.666666667,0.506666667
0,0,0
0,0,0
0.333333333,4.333333333,4.333333333
0,0,0
0.666666667,5,4.6
1.666666667,11.33333333,10.19666667
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.323333333
0,0,0
0.333333333,1,0.71
0,0,0
0,0,0
0,0,0
0,0,0
2.666666667,7,5.286666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,1.333333333,1.143333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.666666667,5,3.41
1,1,0.256666667
1.666666667,29.66666667,28.91333333
5.333333333,32.66666667,29.19666667
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,2,1.95
0,0,0
6.666666667,6.666666667,2.943333333
1,4.333333333,3.943333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,2,1.893333333
0,0,0
0,0,0
0,0,0
2.666666667,3,1.69
0,0,0
0.666666667,1.333333333,1.083333333
0,0,0
1.333333333,6.333333333,5.69
0,0,0
0.666666667,0.666666667,0.466666667
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,2.333333333,2.173333333
0,0,0
0,0,0
0,0,0
3,3.333333333,1.793333333
0,0,0
0,0,0
2,5,3.756666667
0,0,0
0,0,0
1.666666667,9.666666667,8.196666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1,0.576666667
0,0,0
0.666666667,4.333333333,3.906666667
6.666666667,9.333333333,6.046666667
0,0,0
0,0,0
0,0,0
2.666666667,2.666666667,0.483333333
0,0,0
0,0,0
0.666666667,4,3.58
0,0,0
0,0,0
4.333333333,5.333333333,2.996666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,2,1.966666667
0,0,0
0,0,0
5,25.66666667,22.95666667
0,0,0
9.666666667,18,12.75666667
0,0,0
0,0,0
0.333333333,0.333333333,0.026666667
0,0,0
0.666666667,2,1.376666667
0,0,0
0,0,0
0,0,0
0.333333333,4.333333333,4.15
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.333333333,4.333333333,3.8
1.333333333,1.666666667,1.08
1,4,3.576666667
5,10,6.97
0,0,0
0,0,0
1.333333333,3.333333333,2.616666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7,13.66666667,10.51666667
1,2.333333333,1.72
1,3.333333333,3.1
1,1.333333333,0.83
1.666666667,18,16.66
0,0,0
0,0,0
1.333333333,3,2.34
11.66666667,66,56.84
2.666666667,23,21.69333333
0.333333333,1,0.816666667
0,0,0
9,23.33333333,15.80333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,2,1.96
0.666666667,12,11.81333333
0.666666667,0.666666667,0.146666667
0,0,0
0,0,0
0,0,0
0.666666667,1.333333333,1.07
0,0,0
0,0,0
1.333333333,2.666666667,1.92
0.333333333,0.333333333,0.056666667
0.333333333,3.666666667,3.45
0,0,0
1,3,2.156666667
0,0,0
0.333333333,0.666666667,0.366666667
0,0,0
0,0,0
0,0,0
4.333333333,4.333333333,0.796666667
0,0,0
0,0,0
0.666666667,0.666666667,0.48
0,0,0
0,0,0
0.666666667,6.333333333,6.036666667
0.333333333,0.333333333,0.023333333
0,0,0
0,0,0
2,4,2.63
0.333333333,2,1.74
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,2,1.416666667
0.333333333,0.333333333,0.093333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,2.666666667,2.613333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1.333333333,0.876666667
0,0,0
0.666666667,4.333333333,4.183333333
0.666666667,10.66666667,10.15333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,2,1.456666667
0,0,0
0,0,0
1,5.666666667,5.376666667
5.333333333,7.333333333,4.91
4.333333333,11.66666667,9.186666667
1,7,6.616666667
2,2.666666667,1.59
0,0,0
0,0,0
5.333333333,9,6.1
3,20,18.66666667
0,0,0
0.333333333,1,0.826666667
0,0,0
0,0,0
2.666666667,4.666666667,3.366666667
0,0,0
0,0,0
0,0,0
1,6,5.143333333
1,2,1.743333333
0,0,0
3,13.33333333,11.27666667
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,1.333333333,1.273333333
0,0,0
0,0,0
0.333333333,1.666666667,1.416666667
0,0,0
0,0,0
0,0,0
18.33333333,28,18.16
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.033333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,38.33333333,38.01
0,0,0
0.666666667,4.333333333,3.776666667
0,0,0
0.333333333,0.333333333,0.043333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.666666667,7,6.043333333
0,0,0
0,0,0
10.33333333,24.33333333,19.09
0,0,0
6,7,4.813333333
0,0,0
0,0,0
0,0,0
0,0,0
2,3,2.22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6.666666667,10.66666667,7.19
0,0,0
0,0,0
0,0,0
0,0,0
2,3.333333333,1.88
0.333333333,0.666666667,0.36
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.666666667,0.406666667
1.666666667,3,2.106666667
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,12.66666667,12.27
0.666666667,1.333333333,1.013333333
0,0,0
0.666666667,5.333333333,5.116666667
0,0,0
2,3,2.48
10.66666667,12.33333333,8.986666667
0,0,0
0,0,0
0,0,0
3.333333333,7.666666667,5.63
0,0,0
5,14,10.71333333
1.333333333,3.333333333,2.353333333
0,0,0
1.333333333,6,5.413333333
1,1,0.113333333
0.333333333,0.666666667,0.55
0,0,0
0,0,0
0.666666667,1.666666667,1.526666667
14.33333333,36,28.97333333
0,0,0
1,1,0.083333333
3.333333333,7.666666667,6.006666667
2.666666667,13.33333333,11.87333333
0.666666667,1.666666667,1.376666667
17.33333333,58.66666667,48.93666667
0,0,0
0.666666667,0.666666667,0.013333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,2.666666667,2.256666667
0,0,0
2.666666667,6,4.126666667
4.666666667,10.66666667,7.263333333
0,0,0
1,14,13.72
19.33333333,41,31.61333333
0,0,0
0,0,0
0,0,0
0,0,0
1.333333333,1.666666667,1.47
0,0,0
1.666666667,27.33333333,26.33333333
0,0,0
7.333333333,25.66666667,22.59666667
5.333333333,11.66666667,8.94
3,3,1.633333333
0,0,0
0,0,0
0,0,0
0,0,0
9,53,47.99333333
6.666666667,19,15.26
0,0,0
0,0,0
0,0,0
5.333333333,5.333333333,3.553333333
0,0,0
0,0,0
6.666666667,10,7.33
0,0,0
1.666666667,29,28.19333333
1,32.66666667,32.22333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.666666667,2,1.093333333
0,0,0
0.666666667,0.666666667,0.043333333
0.666666667,0.666666667,0.2
0,0,0
0,0,0
0,0,0
10.66666667,62,55.04666667
0,0,0
20,60,49.85666667
0,0,0
0,0,0
0.333333333,2.333333333,2.3
0.333333333,0.333333333,0.176666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,0.666666667,0.093333333
0.666666667,3,2.483333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.333333333,1.333333333,0.63
0,0,0
0.333333333,5.333333333,5.243333333
0,0,0
7,7.333333333,3.95
0,0,0
0,0,0
0,0,0
0.666666667,1,0.896666667
0,0,0
0.333333333,3,2.916666667
0,0,0
0,0,0
0,0,0
0.333333333,0.666666667,0.466666667
0,0,0
3.333333333,8.666666667,6.353333333
0,0,0
1.666666667,1.666666667,0.966666667
0,0,0
6.666666667,10.33333333,5.11
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.666666667,5.666666667,3.53
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.206666667
0,0,0
0.333333333,0.333333333,0.043333333
0.333333333,3,2.916666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
16.66666667,24.33333333,16.55
0.666666667,2.666666667,2.17
5,12.33333333,8.476666667
2.666666667,8.666666667,7.503333333
0,0,0
0,0,0
0,0,0
1.333333333,5.666666667,5.18
0,0,0
0,0,0
0.666666667,1,0.71
0,0,0
0,0,0
2,7,5.433333333
0,0,0
1.333333333,1.333333333,0.723333333
0,0,0
1.333333333,5.666666667,5.176666667
0.333333333,5.333333333,5.06
0,0,0
0.666666667,13.33333333,12.94666667
0.666666667,3,2.67
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,15,14.61666667
0.333333333,2.333333333,2.24
0,0,0
0.333333333,0.333333333,0.01
0,0,0
1.333333333,5.333333333,4.416666667
5,15,12.92
0,0,0
1,8.333333333,7.6
0,0,0
0.333333333,2.333333333,2.193333333
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,0.666666667,0.353333333
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1,0.626666667
0,0,0
3,8,6.696666667
0.333333333,4,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,6,5.793333333
0,0,0
0,0,0
0.333333333,5,4.873333333
0.666666667,0.666666667,0.186666667
0,0,0
0,0,0
0,0,0
3.666666667,4,1.933333333
0,0,0
0,0,0
0,0,0
4.666666667,26.33333333,23.71666667
0,0,0
0,0,0
5.333333333,6.333333333,3.653333333
0,0,0
2.333333333,2.333333333,0.476666667
5.666666667,14.66666667,11.73666667
1.333333333,6.333333333,5.79
2.333333333,3,1.66
0,0,0
0,0,0
0,0,0
0.333333333,2,1.926666667
11.33333333,20.66666667,16.66
0,0,0
0,0,0
31,47,29.91333333
0,0,0
0,0,0
0,0,0
0.333333333,0.666666667,0.383333333
1,17.66666667,17.20666667
0,0,0
0,0,0
0,0,0
1.333333333,5.666666667,4.816666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.666666667,4,2.823333333
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,5.333333333,5.093333333
16,16,9.726666667
10.33333333,22.33333333,16.36333333
0.333333333,0.333333333,0.09
0,0,0
0,0,0
0.666666667,1.333333333,1.216666667
0,0,0
0.333333333,0.333333333,0.256666667
0.333333333,1.333333333,1.033333333
0,0,0
0,0,0
0.333333333,0.666666667,0.566666667
0.333333333,0.666666667,0.66
0,0,0
0,0,0
0,0,0
1.333333333,2.333333333,1.253333333
0,0,0
0,0,0
0.333333333,0.666666667,0.576666667
1.666666667,4.666666667,3.833333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.333333333,15.66666667,14.01
0,0,0
0,0,0
1.333333333,4.666666667,3.913333333
0.333333333,2.333333333,2.016666667
1.333333333,8.333333333,7.543333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8.333333333,18.66666667,13.85
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,0.666666667,0.27
1,6.666666667,6.246666667
0,0,0
0,0,0
9,11.66666667,6.94
0,0,0
0,0,0
0,0,0
0.333333333,3.666666667,3.416666667
0.333333333,2,1.91
9.333333333,35.66666667,29.70333333
7.333333333,7.666666667,4.323333333
0.333333333,0.666666667,0.426666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.043333333
0,0,0
0,0,0
0.333333333,0.333333333,0.11
12,13.33333333,8.503333333
1.666666667,2,1.216666667
0,0,0
0,0,0
0,0,0
4.666666667,7.666666667,5.463333333
2.666666667,20.66666667,19.16
1.333333333,23.66666667,22.95
0,0,0
0.666666667,6,5.493333333
0.666666667,0.666666667,0.373333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,4.333333333,1.743333333
0,0,0
0,0,0
0,0,0
9,9.666666667,5.87
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,29,26.25
0,0,0
0,0,0
2.666666667,9.333333333,7.6
0.666666667,1.333333333,0.943333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1.666666667,1.073333333
0,0,0
0.666666667,2,1.753333333
13,24.66666667,17.77333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,2.333333333,2.043333333
0,0,0
0.333333333,7.333333333,7.306666667
0,0,0
17.33333333,53.33333333,41.87333333
1.666666667,4,2.97
3.333333333,9.333333333,7.713333333
0,0,0
0.666666667,1,0.89
0,0,0
1,4,3.42
0.333333333,7.666666667,7.443333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.066666667
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,2,1.646666667
0.333333333,0.333333333,0.143333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,6,5.76
4.666666667,32,28.85666667
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.156666667
0,0,0
2.666666667,4,2.076666667
2,4.666666667,3.556666667
0,0,0
6.666666667,7.333333333,3.76
0,0,0
0,0,0
4.333333333,6.666666667,5.076666667
1,3.333333333,2.826666667
0,0,0
0.666666667,1,0.723333333
1.333333333,13.33333333,13.01333333
0,0,0
0,0,0
0,0,0
0,0,0
1,11.66666667,11.13333333
0,0,0
0.333333333,0.333333333,0.033333333
0.666666667,2.666666667,2.083333333
0,0,0
4.333333333,6.666666667,4.42
0,0,0
0.333333333,1,1
0,0,0
21.33333333,34.33333333,21.17
0,0,0
0,0,0
8.333333333,18,14.41333333
2.666666667,7.333333333,6.273333333
0,0,0
0,0,0
3.666666667,4.666666667,3.063333333
0,0,0
0.333333333,2,1.933333333
2.333333333,20.66666667,19.17666667
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,3.333333333,3.066666667
2.333333333,3.333333333,2.436666667
1.333333333,2,0.86
0,0,0
1.666666667,1.666666667,0.613333333
0,0,0
0.666666667,3,2.416666667
0,0,0
0.333333333,0.333333333,0.323333333
2.666666667,4,2.576666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.666666667,17.66666667,15.62666667
0,0,0
0.333333333,1.333333333,1.156666667
0,0,0
0.666666667,4.666666667,4.226666667
0,0,0
0,0,0
0,0,0
9.333333333,14.33333333,8.146666667
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,3,2.973333333
0,0,0
0,0,0
0,0,0
1,7.666666667,7.026666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,5.666666667,3.576666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1,0.67
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1,0.7
0.333333333,1.666666667,1.573333333
0,0,0
0,0,0
0,0,0
0,0,0
1,7,6.543333333
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.026666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,6.666666667,5.566666667
4.666666667,9.666666667,5.69
0.666666667,3.333333333,3.026666667
0,0,0
0,0,0
0,0,0
1,4.333333333,3.85
1.333333333,1.333333333,0.67
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
14.66666667,35.66666667,27.45666667
5,8.333333333,6.676666667
0,0,0
0,0,0
4.333333333,15.33333333,13.60333333
0,0,0
0,0,0
1.666666667,6,5.053333333
0,0,0
1.666666667,6.666666667,5.706666667
0.666666667,2.666666667,2.38
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.333333333,2.666666667,2.006666667
0,0,0
3,6.333333333,5.083333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,1.333333333,0.8
0,0,0
0,0,0
0,0,0
1.333333333,5.333333333,4.496666667
1.666666667,25.66666667,24.47666667
0,0,0
0.666666667,1.666666667,1.273333333
0,0,0
0,0,0
1,6.666666667,6.383333333
0.333333333,0.666666667,0.666666667
5,6,3.586666667
0,0,0
0,0,0
0,0,0
1,3.333333333,2.983333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
