Customer_info$Customer.Customer_ID,Product.new_cell,Product.dualband,Product.refurb_new,Product.hnd_price,Product.hnd_webcap,Product.eqpdays
1000128,Y,N,N,299.9899902,WCMB,77
1000129,N,Y,N,149.9899902,WCMB,116
1000130,N,Y,N,79.98999023,WCMB,656
1000131,N,Y,N,149.9899902,WCMB,72
1000132,Y,Y,N,59.98999023,WCMB,504
1000133,N,Y,N,199.9899902,WCMB,45
1000134,N,N,N,79.98999023,WC,709
1000135,N,Y,N,149.9899902,WCMB,10
1000136,N,Y,N,99.98999023,WCMB,234
1000137,N,Y,N,199.9899902,WCMB,296
1000138,Y,Y,N,59.98999023,WCMB,574
1000139,Y,Y,N,59.98999023,WCMB,710
1000140,N,N,R,9.989997864,NA,1053
1000141,Y,N,N,29.98999023,NA,1672
1000142,N,Y,N,79.98999023,WCMB,616
1000143,U,Y,N,149.9899902,WCMB,124
1000144,Y,Y,N,79.98999023,WCMB,826
1000145,N,N,N,NA,WC,754
1000146,N,Y,N,29.98999023,WC,285
1000147,N,N,N,29.98999023,NA,1565
1000148,N,N,R,79.98999023,WCMB,151
1000149,N,N,R,9.989997864,WCMB,385
1000150,Y,Y,N,149.9899902,WCMB,69
1000151,Y,N,R,29.98999023,WC,270
1000152,N,Y,R,29.98999023,WCMB,57
1000153,N,Y,N,59.98999023,WCMB,626
1000154,N,Y,N,499.9899902,WCMB,241
1000155,N,Y,N,29.98999023,WC,383
1000156,Y,Y,R,79.98999023,WCMB,107
1000157,N,Y,N,199.9899902,WCMB,109
1000158,Y,N,N,79.98999023,WC,740
1000159,N,N,R,29.98999023,WC,638
1000160,N,N,N,79.98999023,WC,776
1000161,Y,N,N,29.98999023,NA,1669
1000162,N,Y,N,149.9899902,WCMB,226
1000163,N,Y,N,29.98999023,WC,805
1000164,N,Y,N,149.9899902,WCMB,517
1000165,N,Y,N,149.9899902,WCMB,206
1000166,N,Y,N,79.98999023,WCMB,485
1000167,Y,Y,N,149.9899902,WCMB,185
1000168,U,Y,N,59.98999023,WCMB,734
1000169,N,Y,N,149.9899902,WCMB,180
1000170,Y,Y,N,149.9899902,WCMB,275
1000171,Y,N,N,129.9899902,WCMB,181
1000172,N,N,N,29.98999023,WC,769
1000173,N,Y,N,149.9899902,WCMB,249
1000174,N,N,N,129.9899902,WCMB,143
1000175,Y,N,N,29.98999023,NA,1497
1000176,N,Y,N,149.9899902,WCMB,153
1000177,U,Y,N,149.9899902,WCMB,422
1000178,Y,Y,N,149.9899902,WCMB,132
1000179,N,Y,R,99.98999023,WCMB,88
1000180,Y,N,R,9.989997864,NA,1044
1000181,Y,Y,R,29.98999023,WCMB,418
1000182,N,Y,N,79.98999023,WCMB,395
1000183,Y,Y,N,59.98999023,WCMB,279
1000184,N,Y,R,99.98999023,WCMB,411
1000185,Y,Y,N,129.9899902,WCMB,561
1000186,N,Y,R,99.98999023,WCMB,206
1000187,Y,Y,N,129.9899902,WCMB,94
1000188,N,N,R,9.989997864,WC,476
1000189,Y,N,N,59.98999023,WC,409
1000190,Y,Y,N,149.9899902,WCMB,253
1000191,N,N,R,NA,WC,-3
1000192,Y,N,N,29.98999023,NA,1493
1000193,N,Y,N,199.9899902,WCMB,135
1000194,Y,Y,R,79.98999023,WCMB,542
1000195,Y,N,N,29.98999023,NA,1553
1000196,N,Y,R,9.989997864,NA,831
1000197,N,Y,N,29.98999023,NA,584
1000198,N,N,N,29.98999023,NA,1490
1000199,N,N,N,29.98999023,NA,1333
1000200,N,Y,N,129.9899902,WCMB,252
1000201,Y,N,N,29.98999023,NA,1489
1000202,Y,Y,N,129.9899902,WCMB,165
1000203,N,Y,N,199.9899902,WCMB,489
1000204,N,Y,N,79.98999023,WCMB,503
1000205,N,Y,R,99.98999023,WCMB,318
1000206,N,Y,N,29.98999023,WC,397
1000207,N,N,N,129.9899902,WCMB,315
1000208,N,N,N,29.98999023,NA,1595
1000209,N,N,R,9.989997864,NA,672
1000210,Y,Y,N,149.9899902,WCMB,77
1000211,Y,Y,R,129.9899902,WCMB,299
1000212,Y,Y,N,199.9899902,WCMB,506
1000213,N,Y,R,29.98999023,WCMB,216
1000214,Y,N,N,29.98999023,NA,1592
1000215,N,N,N,29.98999023,NA,1485
1000216,Y,T,N,99.98999023,WCMB,78
1000217,Y,N,R,9.989997864,NA,670
1000218,N,N,N,29.98999023,NA,1592
1000219,Y,Y,N,199.9899902,WCMB,25
1000220,N,Y,R,79.98999023,WCMB,198
1000221,N,Y,N,59.98999023,WCMB,452
1000222,N,Y,N,149.9899902,WCMB,329
1000223,U,N,R,9.989997864,NA,634
1000224,N,N,R,9.989997864,NA,475
1000225,N,N,R,9.989997864,NA,902
1000226,N,N,N,29.98999023,NA,1483
1000227,N,N,N,29.98999023,NA,1590
1000228,Y,N,N,29.98999023,NA,669
1000229,Y,Y,N,199.9899902,WCMB,166
1000230,N,Y,N,199.9899902,WCMB,99
1000231,N,Y,N,79.98999023,WCMB,515
1000232,N,N,N,29.98999023,NA,4
1000233,Y,T,N,199.9899902,WCMB,86
1000234,N,Y,R,99.98999023,WCMB,278
1000235,N,Y,N,149.9899902,WCMB,477
1000236,N,N,N,29.98999023,WC,964
1000237,N,Y,N,199.9899902,WCMB,61
1000238,N,N,R,29.98999023,WC,675
1000239,N,Y,N,199.9899902,WCMB,402
1000240,Y,N,N,79.98999023,WC,799
1000241,Y,N,N,59.98999023,WC,1088
1000242,N,Y,N,199.9899902,WCMB,299
1000243,N,Y,N,149.9899902,WCMB,80
1000244,N,Y,N,149.9899902,WCMB,47
1000245,U,N,N,79.98999023,WC,768
1000246,Y,Y,R,79.98999023,WCMB,325
1000247,Y,Y,N,29.98999023,WC,109
1000248,N,Y,R,29.98999023,WCMB,578
1000249,N,Y,N,149.9899902,WCMB,128
1000250,Y,Y,R,29.98999023,WCMB,30
1000251,N,Y,R,99.98999023,WCMB,408
1000252,N,Y,N,129.9899902,WCMB,195
1000253,N,N,N,29.98999023,NA,1538
1000254,Y,Y,N,199.9899902,WCMB,239
1000255,N,Y,N,59.98999023,WCMB,305
1000256,Y,N,R,9.989997864,NA,919
1000257,N,Y,N,59.98999023,WCMB,643
1000258,N,Y,N,199.9899902,WCMB,361
1000259,U,Y,N,149.9899902,WCMB,519
1000260,N,N,N,29.98999023,NA,1644
1000261,N,Y,N,129.9899902,WCMB,693
1000262,N,N,N,79.98999023,WC,804
1000263,Y,N,N,29.98999023,NA,1583
1000264,N,Y,N,149.9899902,WCMB,75
1000265,N,Y,N,149.9899902,WCMB,443
1000266,U,Y,N,199.9899902,WCMB,39
1000267,Y,N,R,29.98999023,WC,358
1000268,N,Y,N,199.9899902,WCMB,294
1000269,Y,Y,N,199.9899902,WCMB,431
1000270,Y,Y,N,29.98999023,NA,957
1000271,N,Y,N,149.9899902,WCMB,293
1000272,Y,Y,N,149.9899902,WCMB,90
1000273,Y,Y,R,9.989997864,WC,650
1000274,N,Y,N,199.9899902,WCMB,115
1000275,N,Y,N,79.98999023,WCMB,348
1000276,N,N,N,29.98999023,NA,1471
1000277,N,N,R,9.989997864,NA,881
1000278,U,Y,N,149.9899902,WCMB,86
1000279,N,Y,N,129.9899902,WCMB,631
1000280,Y,N,N,29.98999023,WC,566
1000281,N,N,N,29.98999023,NA,1531
1000282,Y,N,N,129.9899902,WCMB,224
1000283,U,Y,N,149.9899902,WCMB,18
1000284,Y,Y,R,99.98999023,WCMB,96
1000285,U,Y,N,149.9899902,WCMB,62
1000286,N,N,N,29.98999023,NA,953
1000287,Y,Y,R,99.98999023,WCMB,226
1000288,Y,N,N,29.98999023,NA,1638
1000289,N,Y,R,9.989997864,NA,547
1000290,Y,N,R,9.989997864,NA,647
1000291,Y,N,R,9.989997864,NA,1144
1000292,Y,Y,N,29.98999023,NA,694
1000293,U,Y,N,149.9899902,WCMB,284
1000294,N,N,N,29.98999023,NA,1441
1000295,U,Y,R,79.98999023,WCMB,438
1000296,Y,Y,R,129.9899902,WCMB,25
1000297,U,Y,R,129.9899902,WCMB,223
1000298,N,N,N,29.98999023,NA,1636
1000299,Y,N,N,29.98999023,WC,1120
1000300,N,T,N,99.98999023,WCMB,241
1000301,N,Y,N,29.98999023,WC,263
1000302,N,Y,N,129.9899902,WCMB,206
1000303,Y,N,N,29.98999023,NA,1250
1000304,N,Y,R,99.98999023,WCMB,314
1000305,U,Y,N,29.98999023,NA,539
1000306,Y,Y,N,79.98999023,WCMB,308
1000307,N,Y,N,149.9899902,WCMB,54
1000308,Y,Y,N,199.9899902,WCMB,6
1000309,Y,N,N,29.98999023,WC,253
1000310,U,Y,N,199.9899902,WCMB,19
1000311,Y,T,N,99.98999023,WCMB,217
1000312,N,Y,R,29.98999023,WCMB,53
1000313,N,N,N,29.98999023,WCMB,678
1000314,N,N,R,79.98999023,WCMB,95
1000315,Y,Y,N,129.9899902,WCMB,468
1000316,N,Y,N,199.9899902,WCMB,369
1000317,N,N,R,9.989997864,NA,1222
1000318,N,Y,N,149.9899902,WCMB,187
1000319,N,Y,R,29.98999023,WCMB,195
1000320,Y,N,N,29.98999023,NA,1206
1000321,Y,N,R,9.989997864,NA,446
1000322,Y,Y,N,199.9899902,WCMB,369
1000323,Y,Y,R,79.98999023,WCMB,35
1000324,U,N,N,29.98999023,WC,173
1000325,Y,Y,R,99.98999023,WCMB,198
1000326,Y,N,N,29.98999023,NA,1462
1000327,N,Y,N,59.98999023,WCMB,691
1000328,U,Y,N,199.9899902,WCMB,160
1000329,Y,N,N,129.9899902,WCMB,246
1000330,Y,Y,R,29.98999023,WCMB,325
1000331,N,N,N,129.9899902,WCMB,230
1000332,U,N,N,29.98999023,WCMB,664
1000333,N,Y,N,149.9899902,WCMB,438
1000334,Y,Y,N,29.98999023,WC,11
1000335,N,T,N,99.98999023,WCMB,257
1000336,Y,T,N,99.98999023,WCMB,239
1000337,N,N,N,29.98999023,NA,1461
1000338,N,N,R,9.989997864,NA,922
1000339,N,N,R,9.989997864,NA,1084
1000340,Y,Y,N,129.9899902,WCMB,417
1000341,N,Y,N,199.9899902,WCMB,194
1000342,U,Y,N,129.9899902,WCMB,192
1000343,Y,Y,N,149.9899902,WCMB,378
1000344,N,N,N,29.98999023,NA,181
1000345,N,Y,N,149.9899902,WCMB,317
1000346,N,N,N,29.98999023,NA,1628
1000347,N,Y,R,29.98999023,WCMB,123
1000348,Y,Y,N,129.9899902,WCMB,74
1000349,N,Y,R,9.989997864,NA,583
1000350,U,N,N,9.989997864,NA,36
1000351,Y,Y,N,79.98999023,WCMB,435
1000352,U,Y,N,199.9899902,WCMB,238
1000353,N,Y,R,29.98999023,WCMB,48
1000354,Y,N,R,9.989997864,NA,431
1000355,U,Y,N,149.9899902,WCMB,32
1000356,Y,Y,N,149.9899902,WCMB,89
1000357,N,Y,N,149.9899902,WCMB,632
1000358,Y,N,R,29.98999023,WC,429
1000359,N,N,N,29.98999023,NA,1517
1000360,Y,N,N,79.98999023,WC,631
1000361,Y,Y,N,79.98999023,WCMB,502
1000362,N,Y,N,149.9899902,WCMB,437
1000363,N,Y,N,79.98999023,WCMB,684
1000364,Y,N,N,129.9899902,WCMB,182
1000365,Y,Y,N,149.9899902,WCMB,30
1000366,N,Y,N,29.98999023,WC,1001
1000367,N,Y,N,149.9899902,WCMB,510
1000368,Y,Y,N,79.98999023,WCMB,456
1000369,N,Y,N,199.9899902,WCMB,555
1000370,N,Y,N,149.9899902,WCMB,145
1000371,Y,Y,N,199.9899902,WCMB,259
1000372,N,Y,N,29.98999023,NA,841
1000373,Y,Y,N,129.9899902,WCMB,474
1000374,N,Y,N,149.9899902,WCMB,103
1000375,Y,Y,N,149.9899902,WCMB,100
1000376,Y,Y,N,149.9899902,WCMB,448
1000377,Y,N,N,29.98999023,NA,1622
1000378,Y,N,N,29.98999023,NA,228
1000379,N,Y,R,99.98999023,WCMB,104
1000380,Y,N,N,79.98999023,WC,861
1000381,Y,Y,N,129.9899902,WCMB,569
1000382,N,T,N,99.98999023,WCMB,174
1000383,Y,Y,N,149.9899902,WCMB,13
1000384,Y,N,N,29.98999023,WCMB,686
1000385,N,N,N,129.9899902,WCMB,290
1000386,N,Y,N,129.9899902,WCMB,470
1000387,U,Y,N,149.9899902,WCMB,530
1000388,N,N,N,29.98999023,NA,998
1000389,N,T,N,99.98999023,WCMB,52
1000390,N,Y,R,9.989997864,NA,619
1000391,Y,N,N,79.98999023,WC,644
1000392,Y,Y,R,129.9899902,WCMB,311
1000393,Y,N,N,29.98999023,NA,1451
1000394,N,N,R,9.989997864,NA,572
1000395,Y,N,N,29.98999023,WCMB,582
1000396,Y,N,N,29.98999023,NA,1511
1000397,N,Y,N,79.98999023,WCMB,646
1000398,N,N,R,39.98999023,WC,616
1000399,N,Y,R,99.98999023,WCMB,320
1000400,N,N,R,9.989997864,NA,247
1000401,N,N,N,129.9899902,WCMB,183
1000402,N,N,R,9.989997864,WCMB,477
1000403,N,Y,N,249.9899902,WCMB,13
1000404,Y,N,R,9.989997864,NA,1179
1000405,U,N,N,29.98999023,NA,575
1000406,N,N,N,79.98999023,WC,647
1000407,Y,N,N,29.98999023,WCMB,403
1000408,N,Y,R,99.98999023,WCMB,511
1000409,Y,N,N,79.98999023,WC,822
1000410,N,Y,R,99.98999023,WCMB,68
1000411,N,Y,N,149.9899902,WCMB,389
1000412,U,Y,N,199.9899902,WCMB,256
1000413,N,Y,N,79.98999023,WCMB,239
1000414,N,Y,N,79.98999023,WCMB,528
1000415,Y,N,N,29.98999023,NA,1447
1000416,Y,Y,N,149.9899902,WCMB,166
1000417,U,Y,R,99.98999023,WCMB,373
1000418,N,Y,R,99.98999023,WCMB,243
1000419,N,Y,N,29.98999023,NA,875
1000420,N,Y,R,99.98999023,WCMB,313
1000421,Y,Y,N,79.98999023,WCMB,652
1000422,U,N,N,NA,WC,16
1000423,U,N,N,29.98999023,WC,698
1000424,Y,Y,N,199.9899902,WCMB,410
1000425,Y,N,N,29.98999023,WCMB,702
1000426,N,Y,N,199.9899902,WCMB,217
1000427,Y,Y,N,199.9899902,WCMB,556
1000428,N,Y,R,99.98999023,WCMB,304
1000429,U,N,N,29.98999023,NA,1554
1000430,Y,Y,N,79.98999023,WCMB,340
1000431,U,N,N,29.98999023,NA,142
1000432,N,Y,N,199.9899902,WCMB,117
1000433,N,Y,N,129.9899902,WCMB,331
1000434,N,Y,N,79.98999023,WCMB,430
1000435,N,N,N,29.98999023,NA,1554
1000436,N,N,R,9.989997864,WC,402
1000437,Y,N,R,9.989997864,NA,1088
1000438,U,T,N,99.98999023,WCMB,135
1000439,N,Y,N,149.9899902,WCMB,198
1000440,N,Y,N,29.98999023,NA,1264
1000441,N,Y,N,149.9899902,WCMB,588
1000442,N,Y,N,149.9899902,WCMB,439
1000443,Y,Y,N,59.98999023,WCMB,494
1000444,Y,Y,R,99.98999023,WCMB,204
1000445,N,N,N,129.9899902,WCMB,280
1000446,N,N,N,29.98999023,NA,172
1000447,N,N,N,29.98999023,NA,1444
1000448,N,Y,R,29.98999023,WCMB,195
1000449,U,N,N,29.98999023,WC,285
1000450,N,N,N,29.98999023,NA,1444
1000451,U,Y,N,29.98999023,WC,686
1000452,Y,Y,N,149.9899902,WCMB,541
1000453,N,Y,N,199.9899902,WCMB,334
1000454,Y,Y,N,29.98999023,NA,702
1000455,N,N,N,29.98999023,WC,767
1000456,N,Y,N,149.9899902,WCMB,35
1000457,N,N,N,NA,WC,1
1000458,N,Y,N,149.9899902,WCMB,217
1000459,Y,Y,N,149.9899902,WCMB,416
1000460,N,N,N,29.98999023,NA,1442
1000461,U,T,N,99.98999023,WCMB,90
1000462,N,N,N,29.98999023,NA,1287
1000463,Y,T,N,199.9899902,WCMB,140
1000464,Y,U,N,NA,UNKW,4
1000465,N,Y,R,99.98999023,WCMB,410
1000466,N,N,N,29.98999023,NA,1504
1000467,N,Y,N,79.98999023,WCMB,663
1000468,U,Y,N,149.9899902,WCMB,463
1000469,Y,N,N,59.98999023,WC,932
1000470,N,Y,N,59.98999023,WCMB,538
1000471,Y,N,N,79.98999023,WC,876
1000472,N,N,R,9.989997864,NA,1145
1000473,N,N,N,29.98999023,WCMB,533
1000474,N,Y,N,129.9899902,WCMB,527
1000475,N,Y,N,59.98999023,WCMB,430
1000476,N,Y,N,79.98999023,WCMB,66
1000477,U,N,N,29.98999023,NA,1502
1000478,Y,N,N,129.9899902,WCMB,195
1000479,U,T,R,99.98999023,WCMB,88
1000480,Y,Y,N,79.98999023,WCMB,423
1000481,N,Y,N,149.9899902,WCMB,341
1000482,Y,N,N,29.98999023,NA,1548
1000483,N,Y,R,99.98999023,WCMB,231
1000484,N,Y,N,29.98999023,NA,601
1000485,U,Y,N,199.9899902,WCMB,86
1000486,N,Y,N,129.9899902,WCMB,135
1000487,Y,N,N,29.98999023,WCMB,615
1000488,N,N,R,79.98999023,WCMB,15
1000489,N,N,N,79.98999023,WC,802
1000490,Y,Y,N,129.9899902,WCMB,155
1000491,N,Y,N,199.9899902,WCMB,98
1000492,N,Y,R,129.9899902,WCMB,67
1000493,N,N,N,29.98999023,NA,202
1000494,N,Y,N,199.9899902,WCMB,382
1000495,N,Y,N,199.9899902,WCMB,349
1000496,N,Y,N,79.98999023,WCMB,524
1000497,N,N,N,29.98999023,NA,1607
1000498,N,Y,N,129.9899902,WCMB,250
1000499,N,N,R,9.989997864,WCMB,126
1000500,N,Y,N,199.9899902,WCMB,3
1000501,Y,N,R,9.989997864,NA,1390
1000502,N,Y,N,29.98999023,NA,454
1000503,Y,Y,N,149.9899902,WCMB,437
1000504,U,N,N,29.98999023,NA,1437
1000505,Y,N,N,29.98999023,NA,1437
1000506,N,Y,N,199.9899902,WCMB,92
1000507,Y,Y,R,79.98999023,WCMB,62
1000508,U,Y,R,9.989997864,NA,421
1000509,Y,N,N,29.98999023,WC,574
1000510,N,Y,N,149.9899902,WCMB,39
1000511,Y,Y,N,79.98999023,WCMB,268
1000512,Y,Y,R,99.98999023,WCMB,103
1000513,Y,Y,N,149.9899902,WCMB,555
1000514,Y,Y,N,59.98999023,WCMB,367
1000515,N,Y,N,149.9899902,WCMB,212
1000516,Y,Y,N,199.9899902,WCMB,556
1000517,Y,T,N,99.98999023,WCMB,204
1000518,Y,Y,N,199.9899902,WCMB,293
1000519,Y,Y,R,29.98999023,WCMB,428
1000520,Y,Y,R,99.98999023,WCMB,96
1000521,Y,N,N,29.98999023,WCMB,758
1000522,U,Y,R,39.98999023,WCMB,507
1000523,U,T,N,99.98999023,WCMB,110
1000524,N,N,N,29.98999023,NA,1542
1000525,Y,Y,N,59.98999023,WCMB,530
1000526,Y,N,N,29.98999023,NA,436
1000527,N,Y,N,199.9899902,WCMB,405
1000528,Y,N,N,29.98999023,NA,1602
1000529,N,N,R,9.989997864,WC,501
1000530,U,N,N,29.98999023,NA,1494
1000531,N,N,N,129.9899902,WCMB,299
1000532,Y,N,R,9.989997864,NA,929
1000533,N,Y,N,29.98999023,WC,861
1000534,Y,N,N,29.98999023,NA,1494
1000535,N,Y,N,199.9899902,WCMB,66
1000536,U,N,N,29.98999023,NA,77
1000537,Y,Y,N,79.98999023,WCMB,556
1000538,N,N,N,129.9899902,WCMB,72
1000539,Y,Y,N,29.98999023,WC,888
1000540,N,N,N,29.98999023,WC,872
1000541,N,Y,N,29.98999023,NA,53
1000542,U,Y,N,29.98999023,NA,621
1000543,N,N,N,29.98999023,NA,647
1000544,U,N,N,129.9899902,WCMB,48
1000545,N,Y,N,59.98999023,WCMB,737
1000546,U,Y,N,59.98999023,WCMB,683
1000547,N,N,R,39.98999023,WC,374
1000548,Y,Y,N,NA,WCMB,427
1000549,N,N,R,9.989997864,NA,686
1000550,U,Y,N,29.98999023,WC,365
1000551,U,Y,R,9.989997864,WC,256
1000552,U,Y,N,59.98999023,WCMB,821
1000553,N,Y,N,199.9899902,WCMB,351
1000554,Y,N,N,29.98999023,NA,1535
1000555,Y,N,R,9.989997864,NA,860
1000556,Y,N,N,79.98999023,WC,153
1000557,Y,N,N,29.98999023,NA,1535
1000558,N,T,N,199.9899902,WCMB,100
1000559,Y,Y,N,149.9899902,WCMB,223
1000560,N,Y,R,79.98999023,WCMB,66
1000561,N,Y,N,149.9899902,WCMB,236
1000562,U,Y,N,199.9899902,WCMB,9
1000563,N,Y,N,199.9899902,WCMB,360
1000564,Y,Y,N,149.9899902,WCMB,455
1000565,Y,Y,N,199.9899902,WCMB,382
1000566,N,Y,N,199.9899902,WCMB,99
1000567,N,Y,R,29.98999023,WCMB,746
1000568,N,Y,N,199.9899902,WCMB,85
1000569,N,Y,N,129.9899902,WCMB,401
1000570,N,Y,N,149.9899902,WCMB,358
1000571,Y,N,R,9.989997864,WCMB,179
1000572,Y,Y,R,29.98999023,WCMB,225
1000573,N,Y,N,149.9899902,WCMB,11
1000574,N,U,N,NA,UNKW,-3
1000575,N,T,N,99.98999023,WCMB,68
1000576,N,Y,N,199.9899902,WCMB,37
1000577,U,Y,N,199.9899902,WCMB,25
1000578,N,Y,N,29.98999023,WC,304
1000579,N,N,N,29.98999023,NA,1425
1000580,N,Y,N,149.9899902,WCMB,434
1000581,N,N,N,29.98999023,NA,1487
1000582,N,Y,R,99.98999023,WCMB,413
1000583,N,N,N,129.9899902,WCMB,372
1000584,N,Y,N,79.98999023,WCMB,636
1000585,N,N,N,29.98999023,NA,733
1000586,Y,N,R,29.98999023,WC,275
1000587,N,N,N,29.98999023,NA,1425
1000588,N,Y,N,129.9899902,WCMB,661
1000589,N,N,N,129.9899902,WCMB,118
1000590,U,N,N,29.98999023,WC,229
1000591,N,Y,N,29.98999023,NA,499
1000592,N,N,N,29.98999023,WC,720
1000593,N,Y,N,149.9899902,WCMB,361
1000594,Y,Y,R,29.98999023,WCMB,328
