Customer_info$Customer.Customer_ID,CustServ.custcare_Mean,CustServ.ccrndmou_Mean,CustServ.cc_mou_Mean
1000192,1.333333333,5.666666667,5.15
1000193,0.333333333,2.333333333,2.21
1000194,0.333333333,3.666666667,3.49
1000195,0,0,0
1000196,3.333333333,8.333333333,6.806666667
1000197,0,0,0
1000198,0.666666667,3.666666667,3.383333333
1000199,0,0,0
1000200,0.666666667,0.666666667,0.183333333
1000201,0,0,0
1000202,0,0,0
1000203,1.333333333,2,1.423333333
1000204,0,0,0
1000205,1.666666667,5.333333333,4.52
1000206,0,0,0
1000207,0,0,0
1000208,0,0,0
1000209,1.666666667,9,8.106666667
1000210,0,0,0
1000211,0,0,0
1000212,4,17.33333333,14.35333333
1000213,0.333333333,1,0.69
1000214,0,0,0
1000215,0,0,0
1000216,0,0,0
1000217,0,0,0
1000218,0,0,0
1000219,0.333333333,0.333333333,0.116666667
1000220,0,0,0
1000221,2.333333333,3.666666667,1.903333333
1000222,0,0,0
1000223,0,0,0
1000224,0,0,0
1000225,0,0,0
1000226,0,0,0
1000227,0.333333333,1.333333333,1.1
1000228,0,0,0
1000229,0.333333333,0.666666667,0.533333333
1000230,1.333333333,4.666666667,4.246666667
1000231,1.333333333,1.333333333,0.12
1000232,0,0,0
1000233,0,0,0
1000234,2,7.333333333,6.523333333
1000235,0,0,0
1000236,0,0,0
1000237,2,10.33333333,9.63
1000238,0,0,0
1000239,0,0,0
1000240,0,0,0
1000241,0,0,0
1000242,0,0,0
1000243,1.333333333,5.333333333,4.54
1000244,0,0,0
1000245,0,0,0
1000246,0.333333333,1.666666667,1.543333333
1000247,0.333333333,2.666666667,2.533333333
1000248,0,0,0
1000249,0,0,0
1000250,0.333333333,1,0.993333333
1000251,0.333333333,2,1.8
1000252,0,0,0
1000253,0,0,0
1000254,0,0,0
1000255,0,0,0
1000256,0,0,0
1000257,0,0,0
1000258,0,0,0
1000259,6.333333333,17,12.96666667
1000260,0.666666667,4.666666667,4.286666667
1000261,0,0,0
1000262,0.333333333,0.666666667,0.376666667
1000263,0,0,0
1000264,0.666666667,4,3.493333333
1000265,0,0,0
1000266,10,46.33333333,40.97333333
1000267,0,0,0
1000268,0,0,0
1000269,6.333333333,8,5.426666667
1000270,0.333333333,0.333333333,0.1
1000271,0,0,0
1000272,1.666666667,6.333333333,5.093333333
1000273,0,0,0
1000274,3.333333333,35.66666667,33.83
1000275,6,9.333333333,4.22
1000276,0,0,0
1000277,1.333333333,3.333333333,2.46
1000278,0,0,0
1000279,5.333333333,12.33333333,8.456666667
1000280,0,0,0
1000281,0,0,0
1000282,1.666666667,10,9.066666667
1000283,0,0,0
1000284,0,0,0
1000285,0,0,0
1000286,0,0,0
1000287,2.333333333,39,37.53666667
1000288,0,0,0
1000289,0,0,0
1000290,0,0,0
1000291,0,0,0
1000292,0,0,0
1000293,2,2.333333333,1.12
1000294,3.666666667,4,2.356666667
1000295,0,0,0
1000296,1,8.666666667,8.05
1000297,0,0,0
1000298,0,0,0
1000299,0,0,0
1000300,0,0,0
1000301,0.333333333,3,2.773333333
1000302,0.333333333,2,1.826666667
1000303,0,0,0
1000304,0,0,0
1000305,0,0,0
1000306,0,0,0
1000307,0,0,0
1000308,0,0,0
1000309,3.666666667,11,8.966666667
1000310,4.666666667,6.333333333,4.54
1000311,1,10.33333333,9.65
1000312,3,3,1.523333333
1000313,0,0,0
1000314,5.666666667,56.33333333,53.26333333
1000315,0,0,0
1000316,0,0,0
1000317,0,0,0
1000318,5.333333333,25,21.69
1000319,1.666666667,5.666666667,4.38
1000320,0,0,0
1000321,1.333333333,3.666666667,2.876666667
1000322,2,3,1.903333333
1000323,0,0,0
1000324,0.333333333,2,1.79
1000325,2,23.66666667,22.28666667
1000326,0,0,0
1000327,0.333333333,4.666666667,4.483333333
1000328,1,20.33333333,19.91333333
1000329,0,0,0
1000330,2,6,4.433333333
1000331,1.666666667,6.333333333,5.796666667
1000332,0.333333333,1.666666667,1.423333333
1000333,0,0,0
1000334,0,0,0
1000335,1.333333333,10,9.033333333
1000336,0,0,0
1000337,0.333333333,0.666666667,0.626666667
1000338,0,0,0
1000339,0,0,0
1000340,4.666666667,11.33333333,7.04
1000341,1.333333333,2,1.166666667
1000342,0,0,0
1000343,0,0,0
1000344,3.666666667,3.666666667,2.513333333
1000345,0,0,0
1000346,0,0,0
1000347,0.666666667,3,2.683333333
1000348,0.333333333,0.333333333,0.106666667
1000349,0,0,0
1000350,1,12.33333333,11.79666667
1000351,3,21.66666667,19.99666667
1000352,0.666666667,4,3.456666667
1000353,4.666666667,9,6.833333333
1000354,0,0,0
1000355,1.333333333,4,3.19
1000356,0.333333333,0.333333333,0.033333333
1000357,0.333333333,2.666666667,2.373333333
1000358,0,0,0
1000359,0.666666667,2,1.66
1000360,0,0,0
1000361,1.333333333,1.666666667,0.746666667
1000362,0,0,0
1000363,0,0,0
1000364,3.666666667,11,8.12
1000365,7.666666667,19.33333333,14.74333333
1000366,0,0,0
1000367,0.333333333,0.333333333,0.323333333
1000368,0,0,0
1000369,0,0,0
1000370,0,0,0
1000371,0,0,0
1000372,0,0,0
1000373,0.666666667,4.666666667,4.6
1000374,5.333333333,15.66666667,13.32
1000375,1,11.66666667,11.36
1000376,0,0,0
1000377,0,0,0
1000378,0,0,0
1000379,0,0,0
1000380,0,0,0
1000381,0,0,0
1000382,0,0,0
1000383,0,0,0
1000384,0,0,0
1000385,1,2.333333333,1.643333333
1000386,0.333333333,0.666666667,0.6
1000387,0.666666667,1.333333333,0.873333333
1000388,0,0,0
1000389,0,0,0
1000390,2.666666667,18.33333333,17.19666667
1000391,0.333333333,0.333333333,0.29
1000392,0,0,0
1000393,0,0,0
1000394,0,0,0
1000395,0.666666667,1.333333333,0.833333333
1000396,0,0,0
1000397,0.666666667,4.333333333,3.853333333
1000398,0,0,0
1000399,1,2.333333333,1.836666667
1000400,0,0,0
1000401,0,0,0
1000402,0,0,0
1000403,1.333333333,1.666666667,0.553333333
1000404,0,0,0
1000405,0,0,0
1000406,0,0,0
1000407,0,0,0
1000408,0,0,0
1000409,1,3.333333333,2.993333333
1000410,6,27.33333333,24.65666667
1000411,0,0,0
1000412,0.666666667,0.666666667,0.313333333
1000413,0.333333333,2.666666667,2.383333333
1000414,0,0,0
1000415,0,0,0
1000416,0,0,0
1000417,1,1,0.533333333
1000418,0.333333333,0.333333333,0.2
1000419,0,0,0
1000420,0.666666667,1,0.706666667
1000421,0,0,0
1000422,0,0,0
1000423,0.666666667,2,1.74
1000424,0,0,0
1000425,0.333333333,0.333333333,0.25
1000426,0,0,0
1000427,0,0,0
1000428,0,0,0
1000429,0.666666667,5,4.583333333
1000430,3.666666667,32.66666667,30.11666667
1000431,2.666666667,3,0.94
1000432,4,8,5.673333333
1000433,0,0,0
1000434,0,0,0
1000435,0,0,0
1000436,0,0,0
1000437,0,0,0
1000438,3.333333333,26,23.80666667
1000439,0,0,0
1000440,0,0,0
1000441,0,0,0
1000442,0,0,0
1000443,0,0,0
1000444,0,0,0
1000445,0,0,0
1000446,1,1,0.486666667
1000447,0,0,0
1000448,0,0,0
1000449,0,0,0
1000450,0,0,0
1000451,0,0,0
1000452,0,0,0
1000453,0,0,0
1000454,0,0,0
1000455,0,0,0
1000456,0,0,0
1000457,4.333333333,8.666666667,5.773333333
1000458,0,0,0
1000459,0.333333333,0.666666667,0.343333333
1000460,0,0,0
1000461,5.333333333,50,47.44333333
1000462,0,0,0
1000463,0.666666667,2.666666667,2.2
1000464,0,0,0
1000465,0,0,0
1000466,0,0,0
1000467,0.333333333,1,0.76
1000468,0,0,0
1000469,0,0,0
1000470,0,0,0
1000471,0,0,0
1000472,0,0,0
1000473,0,0,0
1000474,0,0,0
1000475,0,0,0
1000476,1.333333333,10,9.366666667
1000477,0,0,0
1000478,0,0,0
1000479,0,0,0
1000480,0.333333333,0.333333333,0.006666667
1000481,0,0,0
1000482,0.666666667,0.666666667,0.293333333
1000483,0,0,0
1000484,0,0,0
1000485,0,0,0
1000486,0.666666667,3.333333333,2.773333333
1000487,0,0,0
1000488,20,21,10.52666667
1000489,0,0,0
1000490,1,3,2.423333333
1000491,1,1.666666667,1.06
1000492,0.666666667,1.333333333,1.263333333
1000493,7.666666667,9.666666667,6.45
1000494,0,0,0
1000495,0,0,0
1000496,0.666666667,1.333333333,0.866666667
1000497,0,0,0
1000498,0,0,0
1000499,0.666666667,1.333333333,1.14
1000500,0.333333333,0.333333333,0.023333333
1000501,0,0,0
1000502,0,0,0
1000503,0.666666667,5.666666667,5.313333333
1000504,0,0,0
1000505,0.333333333,0.333333333,0.19
1000506,0,0,0
1000507,1.666666667,10.33333333,9.54
1000508,3.333333333,5,2.336666667
1000509,0,0,0
1000510,4,6.666666667,4.603333333
1000511,2,7.333333333,6.646666667
1000512,2,6,5.046666667
1000513,0,0,0
1000514,1,5.333333333,4.703333333
1000515,0,0,0
1000516,1,1,0.093333333
1000517,0.666666667,2.333333333,1.883333333
1000518,0,0,0
1000519,0,0,0
1000520,0,0,0
1000521,0.333333333,0.666666667,0.573333333
1000522,0,0,0
1000523,3,11,9.263333333
1000524,0,0,0
1000525,3,9.333333333,7.906666667
1000526,0,0,0
1000527,0,0,0
1000528,0,0,0
1000529,0,0,0
1000530,0,0,0
1000531,0,0,0
1000532,0,0,0
1000533,0,0,0
1000534,0,0,0
1000535,0,0,0
1000536,0,0,0
1000537,0,0,0
1000538,0,0,0
1000539,0,0,0
1000540,0,0,0
1000541,1,8.666666667,8.033333333
1000542,0,0,0
1000543,1,2,1.31
1000544,0.333333333,0.333333333,0.01
1000545,0,0,0
1000546,0.333333333,1.333333333,1.09
1000547,0,0,0
1000548,0,0,0
1000549,0.333333333,0.333333333,0.1
1000550,0.666666667,1.666666667,1.416666667
1000551,0,0,0
1000552,0,0,0
1000553,0.333333333,0.333333333,0.023333333
1000554,0,0,0
1000555,0,0,0
1000556,1.333333333,11,10.21
1000557,0,0,0
1000558,0,0,0
1000559,0,0,0
1000560,0.666666667,3.333333333,3.033333333
1000561,9.666666667,59.66666667,54.31333333
1000562,2.666666667,8,6.073333333
1000563,1,3,2.34
1000564,2,5,3.283333333
1000565,0,0,0
1000566,1,10,9.676666667
1000567,0.333333333,2.333333333,2.233333333
1000568,0,0,0
1000569,0.666666667,0.666666667,0.586666667
1000570,0,0,0
1000571,0.333333333,0.666666667,0.506666667
1000572,0,0,0
1000573,0,0,0
1000574,0,0,0
1000575,0.333333333,4.333333333,4.333333333
1000576,0,0,0
1000577,0.666666667,5,4.6
1000578,1.666666667,11.33333333,10.19666667
1000579,0,0,0
1000580,0,0,0
1000581,0,0,0
1000582,0.333333333,0.333333333,0.323333333
1000583,0,0,0
1000584,0.333333333,1,0.71
1000585,0,0,0
1000586,0,0,0
1000587,0,0,0
1000588,0,0,0
1000589,2.666666667,7,5.286666667
1000590,0,0,0
1000591,0,0,0
1000592,0,0,0
1000593,0,0,0
1000594,0,0,0
1000595,0,0,0
1000596,0.333333333,1.333333333,1.143333333
1000597,0,0,0
1000598,0,0,0
1000599,0,0,0
1000600,0,0,0
1000601,0,0,0
1000602,0,0,0
1000603,0,0,0
1000604,0,0,0
1000605,0,0,0
1000606,0,0,0
1000607,0,0,0
1000608,0,0,0
1000609,0,0,0
1000610,0,0,0
1000611,0,0,0
1000612,0,0,0
1000613,2.666666667,5,3.41
1000614,1,1,0.256666667
1000615,1.666666667,29.66666667,28.91333333
1000616,5.333333333,32.66666667,29.19666667
1000617,0,0,0
1000618,0,0,0
1000619,0,0,0
1000620,0,0,0
1000621,0.333333333,2,1.95
1000622,0,0,0
1000623,6.666666667,6.666666667,2.943333333
1000624,1,4.333333333,3.943333333
1000625,0,0,0
1000626,0,0,0
1000627,0,0,0
1000628,0,0,0
1000629,0,0,0
1000630,0.333333333,2,1.893333333
1000631,0,0,0
1000632,0,0,0
1000633,0,0,0
1000634,2.666666667,3,1.69
1000635,0,0,0
1000636,0.666666667,1.333333333,1.083333333
1000637,0,0,0
1000638,1.333333333,6.333333333,5.69
1000639,0,0,0
1000640,0.666666667,0.666666667,0.466666667
1000641,0,0,0
1000642,0,0,0
1000643,0,0,0
1000644,0,0,0
1000645,0.333333333,2.333333333,2.173333333
1000646,0,0,0
1000647,0,0,0
1000648,0,0,0
1000649,3,3.333333333,1.793333333
1000650,0,0,0
1000651,0,0,0
1000652,0,0,0
1000653,2,5,3.756666667
1000654,0,0,0
1000655,0,0,0
1000656,1.666666667,9.666666667,8.196666667
1000657,0,0,0
1000658,0,0,0
1000659,0,0,0
1000660,0,0,0
1000661,0,0,0
1000662,0,0,0
1000663,0,0,0
1000664,0,0,0
1000665,0,0,0
1000666,0,0,0
1000667,0,0,0
1000668,0.666666667,1,0.576666667
1000669,0,0,0
1000670,0.666666667,4.333333333,3.906666667
1000671,6.666666667,9.333333333,6.046666667
1000672,0,0,0
1000673,0,0,0
1000674,0,0,0
1000675,2.666666667,2.666666667,0.483333333
1000676,0,0,0
1000677,0,0,0
1000678,0.666666667,4,3.58
1000679,0,0,0
1000680,0,0,0
1000681,4.333333333,5.333333333,2.996666667
1000682,0,0,0
1000683,0,0,0
1000684,0,0,0
1000685,0,0,0
1000686,0,0,0
1000687,0,0,0
1000688,0,0,0
1000689,0.666666667,2,1.966666667
1000690,0,0,0
1000691,0,0,0
1000692,5,25.66666667,22.95666667
1000693,0,0,0
1000694,9.666666667,18,12.75666667
1000695,0,0,0
1000696,0,0,0
1000697,0.333333333,0.333333333,0.026666667
1000698,0,0,0
1000699,0.666666667,2,1.376666667
1000700,0,0,0
1000701,0,0,0
1000702,0,0,0
1000703,0.333333333,4.333333333,4.15
1000704,0,0,0
1000705,0,0,0
1000706,0,0,0
1000707,0,0,0
1000708,0,0,0
1000709,2.333333333,4.333333333,3.8
1000710,1.333333333,1.666666667,1.08
1000711,1,4,3.576666667
1000712,5,10,6.97
1000713,0,0,0
1000714,0,0,0
1000715,1.333333333,3.333333333,2.616666667
1000716,0,0,0
1000717,0,0,0
1000718,0,0,0
1000719,0,0,0
1000720,0,0,0
1000721,0,0,0
1000722,7,13.66666667,10.51666667
1000723,1,2.333333333,1.72
1000724,1,3.333333333,3.1
1000725,1,1.333333333,0.83
1000726,1.666666667,18,16.66
1000727,0,0,0
1000728,0,0,0
1000729,1.333333333,3,2.34
1000730,11.66666667,66,56.84
1000731,2.666666667,23,21.69333333
1000732,0.333333333,1,0.816666667
1000733,0,0,0
1000734,9,23.33333333,15.80333333
1000735,0,0,0
1000736,0,0,0
1000737,0,0,0
1000738,0,0,0
1000739,0,0,0
1000740,0,0,0
1000741,0,0,0
1000742,0,0,0
1000743,0,0,0
1000744,0,0,0
1000745,0.333333333,2,1.96
1000746,0.666666667,12,11.81333333
1000747,0.666666667,0.666666667,0.146666667
1000748,0,0,0
1000749,0,0,0
1000750,0,0,0
1000751,0.666666667,1.333333333,1.07
1000752,0,0,0
1000753,0,0,0
1000754,1.333333333,2.666666667,1.92
1000755,0.333333333,0.333333333,0.056666667
1000756,0.333333333,3.666666667,3.45
1000757,0,0,0
1000758,1,3,2.156666667
1000759,0,0,0
1000760,0.333333333,0.666666667,0.366666667
1000761,0,0,0
1000762,0,0,0
1000763,0,0,0
1000764,4.333333333,4.333333333,0.796666667
1000765,0,0,0
1000766,0,0,0
1000767,0.666666667,0.666666667,0.48
1000768,0,0,0
1000769,0,0,0
1000770,0.666666667,6.333333333,6.036666667
1000771,0.333333333,0.333333333,0.023333333
1000772,0,0,0
1000773,0,0,0
1000774,2,4,2.63
1000775,0.333333333,2,1.74
1000776,0,0,0
1000777,0,0,0
1000778,0,0,0
1000779,0,0,0
1000780,0.666666667,2,1.416666667
1000781,0.333333333,0.333333333,0.093333333
1000782,0,0,0
1000783,0,0,0
1000784,0,0,0
1000785,0,0,0
1000786,0,0,0
1000787,0,0,0
1000788,0,0,0
1000789,0.666666667,2.666666667,2.613333333
1000790,0,0,0
1000791,0,0,0
1000792,0,0,0
1000793,0,0,0
1000794,0,0,0
1000795,0,0,0
1000796,0,0,0
1000797,0.666666667,1.333333333,0.876666667
1000798,0,0,0
1000799,0.666666667,4.333333333,4.183333333
1000800,0.666666667,10.66666667,10.15333333
1000801,0,0,0
1000802,0,0,0
1000803,0,0,0
1000804,0,0,0
1000805,0,0,0
1000806,0,0,0
1000807,0,0,0
1000808,0,0,0
1000809,0,0,0
1000810,0,0,0
1000811,0,0,0
1000812,0,0,0
1000813,0,0,0
1000814,0,0,0
1000815,0,0,0
1000816,0,0,0
1000817,0,0,0
1000818,0,0,0
1000819,0.666666667,2,1.456666667
1000820,0,0,0
1000821,0,0,0
1000822,1,5.666666667,5.376666667
1000823,5.333333333,7.333333333,4.91
1000824,4.333333333,11.66666667,9.186666667
1000825,1,7,6.616666667
1000826,2,2.666666667,1.59
1000827,0,0,0
1000828,0,0,0
1000829,5.333333333,9,6.1
1000830,3,20,18.66666667
1000831,0,0,0
1000832,0.333333333,1,0.826666667
1000833,0,0,0
1000834,0,0,0
1000835,2.666666667,4.666666667,3.366666667
1000836,0,0,0
1000837,0,0,0
1000838,0,0,0
1000839,1,6,5.143333333
1000840,1,2,1.743333333
1000841,0,0,0
1000842,3,13.33333333,11.27666667
1000843,0,0,0
1000844,0,0,0
1000845,0,0,0
1000846,0,0,0
1000847,0.333333333,1.333333333,1.273333333
1000848,0,0,0
1000849,0,0,0
1000850,0.333333333,1.666666667,1.416666667
1000851,0,0,0
1000852,0,0,0
1000853,0,0,0
1000854,18.33333333,28,18.16
1000855,0,0,0
1000856,0,0,0
1000857,0,0,0
1000858,0,0,0
1000859,0,0,0
1000860,0,0,0
1000861,0,0,0
1000862,0,0,0
1000863,0,0,0
1000864,0.333333333,0.333333333,0.033333333
1000865,0,0,0
1000866,0,0,0
1000867,0,0,0
1000868,0,0,0
1000869,0,0,0
1000870,0,0,0
1000871,0.666666667,38.33333333,38.01
1000872,0,0,0
1000873,0.666666667,4.333333333,3.776666667
1000874,0,0,0
1000875,0.333333333,0.333333333,0.043333333
1000876,0,0,0
1000877,0,0,0
1000878,0,0,0
1000879,0,0,0
1000880,0,0,0
1000881,1.666666667,7,6.043333333
1000882,0,0,0
1000883,0,0,0
1000884,0.333333333,2.666666667,2.443333333
1000885,10.33333333,24.33333333,19.09
1000886,0,0,0
1000887,6,7,4.813333333
1000888,0,0,0
1000889,0,0,0
1000890,0,0,0
1000891,0,0,0
1000892,2,3,2.22
1000893,0,0,0
1000894,0,0,0
1000895,0,0,0
1000896,0,0,0
1000897,0,0,0
1000898,6.666666667,10.66666667,7.19
1000899,0,0,0
1000900,0,0,0
1000901,0,0,0
1000902,0,0,0
1000903,2,3.333333333,1.88
1000904,0.333333333,0.666666667,0.36
1000905,0,0,0
1000906,0,0,0
1000907,0,0,0
1000908,0,0,0
1000909,0,0,0
1000910,0,0,0
1000911,0.333333333,0.666666667,0.406666667
1000912,1.666666667,3,2.106666667
1000913,0,0,0
1000914,0,0,0
1000915,0,0,0
1000916,0,0,0
1000917,0.666666667,12.66666667,12.27
1000918,0.666666667,1.333333333,1.013333333
1000919,0,0,0
1000920,0,0,0
1000921,0.666666667,5.333333333,5.116666667
1000922,0,0,0
1000923,2,3,2.48
1000924,10.66666667,12.33333333,8.986666667
1000925,0,0,0
1000926,0,0,0
1000927,0,0,0
1000928,3.333333333,7.666666667,5.63
1000929,0,0,0
1000930,5,14,10.71333333
1000931,1.333333333,3.333333333,2.353333333
1000932,0,0,0
1000933,1.333333333,6,5.413333333
1000934,1,1,0.113333333
1000935,0.333333333,0.666666667,0.55
1000936,0,0,0
1000937,0,0,0
1000938,0.666666667,1.666666667,1.526666667
1000939,14.33333333,36,28.97333333
1000940,0,0,0
1000941,1,1,0.083333333
1000942,3.333333333,7.666666667,6.006666667
1000943,2.666666667,13.33333333,11.87333333
1000944,0.666666667,1.666666667,1.376666667
1000945,17.33333333,58.66666667,48.93666667
1000946,0,0,0
1000947,0.666666667,0.666666667,0.013333333
1000948,0,0,0
1000949,0,0,0
1000950,0,0,0
1000951,0,0,0
1000952,0,0,0
1000953,0,0,0
1000954,0.666666667,2.666666667,2.256666667
1000955,0,0,0
1000956,2.666666667,6,4.126666667
1000957,4.666666667,10.66666667,7.263333333
1000958,0,0,0
1000959,1,14,13.72
1000960,19.33333333,41,31.61333333
1000961,0,0,0
1000962,0,0,0
1000963,0,0,0
1000964,0,0,0
1000965,1.333333333,1.666666667,1.47
1000966,0,0,0
1000967,1.666666667,27.33333333,26.33333333
1000968,0,0,0
1000969,7.333333333,25.66666667,22.59666667
1000970,5.333333333,11.66666667,8.94
1000971,3,3,1.633333333
1000972,0,0,0
1000973,0,0,0
1000974,0,0,0
1000975,0,0,0
1000976,9,53,47.99333333
1000977,6.666666667,19,15.26
1000978,0,0,0
1000979,0,0,0
1000980,0,0,0
1000981,0,0,0
1000982,5.333333333,5.333333333,3.553333333
1000983,0,0,0
1000984,0,0,0
1000985,6.666666667,10,7.33
1000986,0,0,0
1000987,1.666666667,29,28.19333333
1000988,1,32.66666667,32.22333333
1000989,0,0,0
1000990,0,0,0
1000991,0,0,0
1000992,0,0,0
1000993,0,0,0
1000994,1.666666667,2,1.093333333
1000995,0,0,0
1000996,0.666666667,0.666666667,0.043333333
1000997,0.666666667,0.666666667,0.2
1000998,0,0,0
1000999,0,0,0
1001000,0,0,0
1001001,10.66666667,62,55.04666667
1001002,0,0,0
1001003,20,60,49.85666667
1001004,0,0,0
1001005,0,0,0
1001006,0.333333333,2.333333333,2.3
1001007,0.333333333,0.333333333,0.176666667
1001008,0,0,0
1001009,0,0,0
1001010,0,0,0
1001011,0,0,0
1001012,0,0,0
1001013,0,0,0
1001014,0.666666667,0.666666667,0.093333333
1001015,0.666666667,3,2.483333333
1001016,0,0,0
1001017,0,0,0
1001018,0,0,0
1001019,0,0,0
1001020,0,0,0
1001021,1.333333333,1.333333333,0.63
1001022,0,0,0
1001023,0.333333333,5.333333333,5.243333333
1001024,0,0,0
1001025,7,7.333333333,3.95
1001026,0,0,0
1001027,0,0,0
1001028,0,0,0
1001029,0.666666667,1,0.896666667
1001030,0,0,0
1001031,0.333333333,3,2.916666667
1001032,0,0,0
1001033,0,0,0
1001034,0,0,0
1001035,0.333333333,0.666666667,0.466666667
1001036,0,0,0
1001037,3.333333333,8.666666667,6.353333333
1001038,0,0,0
1001039,1.666666667,1.666666667,0.966666667
1001040,0,0,0
1001041,6.666666667,10.33333333,5.11
1001042,0,0,0
1001043,0,0,0
